system,label,score_type,score,delta,is_better,is_significant,model,sub_model,baseline_model,baseline_score,gender,label_type,description,score_pvalue,wilcox_pvalue,n_seeds,n_subjects,n_positive,wilcox_pvalue_fdr
blood_tests_lipids,bt__total_cholesterol,pearson_r,0.07946611452601987,0.034943813344102806,True,1.0,lower_body9,activity_romberg_closed,Age_Gender_BMI_height_VAT,0.044522301181917065,male,regression,"Total cholesterol blood concentration; sum of all cholesterol types (HDL, LDL, VLDL) in mg/dL; key cardiovascular health marker",0.012502758358202287,0.0009765625,10,2520,,0.0048828125
blood_tests_lipids,bt__non_hdl_cholesterol,pearson_r,0.2639251098183021,0.014583560880505997,True,1.0,lower_body9,activity_romberg_closed,Age_Gender_BMI_height_VAT,0.2493415489377961,all,regression,"Non-HDL cholesterol blood concentration; measures total 'bad' cholesterol (LDL, VLDL, IDL) in mg/dL; indicator of cardiovascular risk",8.009678286308092e-38,0.0009765625,10,2404,,0.008690510321100917
blood_tests_lipids,bt__hdl_cholesterol,pearson_r,0.3671604065328407,0.012782258665359925,True,1.0,lower_body9,activity_romberg_closed,Age_Gender_BMI_height_VAT,0.3543781478674808,male,regression,HDL cholesterol blood concentration ('good' cholesterol) in mg/dL; protective factor for cardiovascular health,1.8563772505610976e-39,0.0009765625,10,2499,,0.0048828125
blood_tests_lipids,bt__total_cholesterol,pearson_r,0.23956857064999956,0.011991358681159442,True,1.0,lower_body9,activity_romberg_closed,Age_Gender_BMI_height_VAT,0.22757721196884012,all,regression,"Total cholesterol blood concentration; sum of all cholesterol types (HDL, LDL, VLDL) in mg/dL; key cardiovascular health marker",8.895051598079635e-31,0.0048828125,10,2520,,0.038506732723577235
blood_tests_lipids,bt__triglycerides,pearson_r,0.40091467612014525,0.011903613451179296,True,1.0,lower_body9,activity_romberg_closed,Age_Gender_BMI_height_VAT,0.38901106266896596,male,regression,"Triglyceride blood concentration; measures fatty acids in blood (mg/dL), a key lipid panel component indicating metabolic health",1.901206661523011e-48,0.0009765625,10,2524,,0.0048828125
blood_tests_lipids,bt__non_hdl_cholesterol,pearson_r,0.3492914808807693,0.009353771917215647,True,0.0,lower_body9,activity_romberg_closed,Age_Gender_BMI_height_VAT,0.33993770896355363,female,regression,"Non-HDL cholesterol blood concentration; measures total 'bad' cholesterol (LDL, VLDL, IDL) in mg/dL; indicator of cardiovascular risk",1.7451608636108125e-33,0.0654296875,10,2404,,0.36229352678571425
blood_tests_lipids,bt__total_cholesterol,pearson_r,0.29183195300462317,0.004044269300483738,True,0.0,lower_body9,activity_romberg_closed,Age_Gender_BMI_height_VAT,0.28778768370413943,female,regression,"Total cholesterol blood concentration; sum of all cholesterol types (HDL, LDL, VLDL) in mg/dL; key cardiovascular health marker",4.828309604189169e-24,0.1611328125,10,2520,,0.804833480992268
blood_tests_lipids,bt__non_hdl_cholesterol,pearson_r,0.15281155477584882,-0.00767654013557037,False,0.0,lower_body9,activity_romberg_closed,Age_Gender_BMI_height_VAT,0.1604880949114192,male,regression,"Non-HDL cholesterol blood concentration; measures total 'bad' cholesterol (LDL, VLDL, IDL) in mg/dL; indicator of cardiovascular risk",3.8884274574489315e-07,0.9580078125,10,2404,,1.0
blood_tests_lipids,bt__hdl_cholesterol,pearson_r,0.5189968739825729,-0.010302385466582797,False,0.0,lower_body9,activity_romberg_closed,Age_Gender_BMI_height_VAT,0.5292992594491557,all,regression,HDL cholesterol blood concentration ('good' cholesterol) in mg/dL; protective factor for cardiovascular health,1.1391151168791702e-169,1.0,10,2499,,1.0
blood_tests_lipids,bt__triglycerides,pearson_r,0.38225182720225614,-0.027079199463195203,False,0.0,lower_body9,activity_romberg_closed,Age_Gender_BMI_height_VAT,0.40933102666545135,all,regression,"Triglyceride blood concentration; measures fatty acids in blood (mg/dL), a key lipid panel component indicating metabolic health",2.8019978896571043e-79,1.0,10,2524,,1.0
blood_tests_lipids,bt__hdl_cholesterol,pearson_r,0.3094806836454903,-0.03222938834552047,False,0.0,lower_body9,activity_romberg_closed,Age_Gender_BMI_height_VAT,0.3417100719910108,female,regression,HDL cholesterol blood concentration ('good' cholesterol) in mg/dL; protective factor for cardiovascular health,5.472277792390012e-28,1.0,10,2499,,1.0
blood_tests_lipids,bt__triglycerides,pearson_r,0.3182378338783261,-0.0797168210167512,False,0.0,lower_body9,activity_romberg_closed,Age_Gender_BMI_height_VAT,0.3979546548950773,female,regression,"Triglyceride blood concentration; measures fatty acids in blood (mg/dL), a key lipid panel component indicating metabolic health",4.32861992741657e-25,1.0,10,2524,,1.0
blood_tests_lipids,bt__total_cholesterol,pearson_r,0.07607744149201935,0.031555140310102286,True,1.0,lower_body9,activity_self_selected_gait_speed,Age_Gender_BMI_height_VAT,0.044522301181917065,male,regression,"Total cholesterol blood concentration; sum of all cholesterol types (HDL, LDL, VLDL) in mg/dL; key cardiovascular health marker",0.020292227156080027,0.0009765625,10,2417,,0.0026925223214285714
blood_tests_lipids,bt__non_hdl_cholesterol,pearson_r,0.2745005248195653,0.025158975881769186,True,1.0,lower_body9,activity_self_selected_gait_speed,Age_Gender_BMI_height_VAT,0.2493415489377961,all,regression,"Non-HDL cholesterol blood concentration; measures total 'bad' cholesterol (LDL, VLDL, IDL) in mg/dL; indicator of cardiovascular risk",1.002273446303771e-38,0.0009765625,10,2306,,0.0036858584630350194
blood_tests_lipids,bt__non_hdl_cholesterol,pearson_r,0.35737979521720425,0.017442086253650624,True,1.0,lower_body9,activity_self_selected_gait_speed,Age_Gender_BMI_height_VAT,0.33993770896355363,female,regression,"Non-HDL cholesterol blood concentration; measures total 'bad' cholesterol (LDL, VLDL, IDL) in mg/dL; indicator of cardiovascular risk",7.81455572615683e-35,0.0009765625,10,2306,,0.0037551153273809525
blood_tests_lipids,bt__total_cholesterol,pearson_r,0.23952703253074015,0.011949820561900026,True,1.0,lower_body9,activity_self_selected_gait_speed,Age_Gender_BMI_height_VAT,0.22757721196884012,all,regression,"Total cholesterol blood concentration; sum of all cholesterol types (HDL, LDL, VLDL) in mg/dL; key cardiovascular health marker",3.4249464319824893e-29,0.0048828125,10,2417,,0.016677211707746477
blood_tests_lipids,bt__triglycerides,pearson_r,0.3995702318933957,0.010559169224429732,True,1.0,lower_body9,activity_self_selected_gait_speed,Age_Gender_BMI_height_VAT,0.38901106266896596,male,regression,"Triglyceride blood concentration; measures fatty acids in blood (mg/dL), a key lipid panel component indicating metabolic health",8.470871616657281e-46,0.001953125,10,2421,,0.0048828125
blood_tests_lipids,bt__triglycerides,pearson_r,0.40826317845815996,0.01030852356308265,True,1.0,lower_body9,activity_self_selected_gait_speed,Age_Gender_BMI_height_VAT,0.3979546548950773,female,regression,"Triglyceride blood concentration; measures fatty acids in blood (mg/dL), a key lipid panel component indicating metabolic health",8.472707341995418e-49,0.0009765625,10,2421,,0.0037551153273809525
blood_tests_lipids,bt__triglycerides,pearson_r,0.419032020019649,0.009700993354197662,True,1.0,lower_body9,activity_self_selected_gait_speed,Age_Gender_BMI_height_VAT,0.40933102666545135,all,regression,"Triglyceride blood concentration; measures fatty acids in blood (mg/dL), a key lipid panel component indicating metabolic health",2.4222144640171785e-101,0.0009765625,10,2421,,0.0036858584630350194
